k,combo,support_keptC,support_keptAhigh,diff_C_minus_A,nC,nA
2,f_strength_rs20_xsec_q>=q40(0.9473) & f_chip_winner_rate<=q60(0.9925),0.25806451612903225,0.625,-0.36693548387096775,8,5
2,f_platform_compress_ratio<=q60(0.6772) & f_chip_winner_rate<=q60(0.9925),0.25806451612903225,0.5,-0.24193548387096775,8,4
3,score_total<=q40(0.8377) & score_trend_axis_single<=q60(0.9030) & score_industry_axis_single>=q40(0.6460),0.1935483870967742,0.0,0.1935483870967742,6,0
3,score_total<=q40(0.8377) & score_trend_axis_single<=q60(0.9030) & score_industry_axis_single>=q60(0.7378),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_total<=q40(0.8377) & score_trend_axis_single<=q60(0.9030) & f_strength_rs20_xsec_q<=q40(0.9473),0.3225806451612903,0.0,0.3225806451612903,10,0
3,score_total<=q40(0.8377) & score_trend_axis_single<=q60(0.9030) & score_platform_axis_single>=q40(0.3080),0.3225806451612903,0.0,0.3225806451612903,10,0
3,score_total<=q40(0.8377) & score_trend_axis_single<=q60(0.9030) & score_industry_axis_single<=q40(0.6460),0.1935483870967742,0.0,0.1935483870967742,6,0
3,score_total<=q40(0.8377) & score_trend_axis_single<=q60(0.9030) & score_industry_axis_single<=q60(0.7378),0.22580645161290322,0.0,0.22580645161290322,7,0
3,score_total<=q40(0.8377) & score_trend_axis_single<=q60(0.9030) & f_platform_compress_ratio<=q60(0.6772),0.3225806451612903,0.0,0.3225806451612903,10,0
3,score_total<=q40(0.8377) & score_trend_axis_single<=q60(0.9030) & f_chip_winner_rate<=q60(0.9925),0.25806451612903225,0.0,0.25806451612903225,8,0
3,score_total<=q40(0.8377) & score_industry_axis_single>=q40(0.6460) & score_industry_axis_single>=q60(0.7378),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_total<=q40(0.8377) & score_industry_axis_single>=q40(0.6460) & f_strength_rs20_xsec_q<=q40(0.9473),0.1935483870967742,0.0,0.1935483870967742,6,0
3,score_total<=q40(0.8377) & score_industry_axis_single>=q40(0.6460) & score_platform_axis_single>=q40(0.3080),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_total<=q40(0.8377) & score_industry_axis_single>=q40(0.6460) & f_platform_compress_ratio<=q60(0.6772),0.1935483870967742,0.0,0.1935483870967742,6,0
3,score_total<=q40(0.8377) & score_industry_axis_single>=q60(0.7378) & f_strength_rs20_xsec_q<=q40(0.9473),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_total<=q40(0.8377) & f_strength_rs20_xsec_q<=q40(0.9473) & score_platform_axis_single>=q40(0.3080),0.25806451612903225,0.0,0.25806451612903225,8,0
3,score_total<=q40(0.8377) & f_strength_rs20_xsec_q<=q40(0.9473) & score_industry_axis_single<=q60(0.7378),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_total<=q40(0.8377) & f_strength_rs20_xsec_q<=q40(0.9473) & f_platform_compress_ratio<=q60(0.6772),0.25806451612903225,0.0,0.25806451612903225,8,0
3,score_total<=q40(0.8377) & f_strength_rs20_xsec_q<=q40(0.9473) & f_chip_winner_rate<=q60(0.9925),0.1935483870967742,0.0,0.1935483870967742,6,0
3,score_total<=q40(0.8377) & f_chip_winner_rate>=q60(0.9925) & score_platform_axis_single>=q40(0.3080),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_total<=q40(0.8377) & f_chip_winner_rate>=q60(0.9925) & f_platform_compress_ratio<=q60(0.6772),0.16129032258064516,0.0,0.16129032258064516,5,0
3,score_total<=q40(0.8377) & score_platform_axis_single>=q40(0.3080) & score_industry_axis_single<=q40(0.6460),0.1935483870967742,0.125,0.06854838709677419,6,1
3,score_total<=q40(0.8377) & score_platform_axis_single>=q40(0.3080) & score_industry_axis_single<=q60(0.7378),0.22580645161290322,0.125,0.10080645161290322,7,1
3,score_total<=q40(0.8377) & score_platform_axis_single>=q40(0.3080) & f_platform_compress_ratio<=q60(0.6772),0.3548387096774194,0.125,0.22983870967741937,11,1
3,score_total<=q40(0.8377) & score_platform_axis_single>=q40(0.3080) & f_chip_winner_rate<=q60(0.9925),0.1935483870967742,0.125,0.06854838709677419,6,1
3,score_total<=q40(0.8377) & score_industry_axis_single<=q40(0.6460) & score_industry_axis_single<=q60(0.7378),0.25806451612903225,0.125,0.13306451612903225,8,1
3,score_total<=q40(0.8377) & score_industry_axis_single<=q40(0.6460) & f_platform_compress_ratio<=q60(0.6772),0.1935483870967742,0.125,0.06854838709677419,6,1
3,score_total<=q40(0.8377) & score_industry_axis_single<=q40(0.6460) & f_chip_winner_rate<=q60(0.9925),0.1935483870967742,0.125,0.06854838709677419,6,1
